"activity" "subject" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()"
"1" "LAYING" 10 -0.410425640545281 -0.473099669633011 -0.410425640545281 -0.473099669633011 -0.516760666466067 -0.463717186575281 -0.42720737666236 -0.548490222929888 -0.699690401348315 -0.746221347921348 -0.444359893858427 -0.572794439629775 -0.44003215355618 -0.501173628857865 -0.602597051292135 -0.592044956595506 -0.741410645280899 -0.77147124747191
"2" "LAYING" 12 -0.559586545675313 -0.5743864944925 -0.559586545675313 -0.5743864944925 -0.6300504918575 -0.566365683597188 -0.63166805889875 -0.68485805678325 -0.77729447821875 -0.7863865328125 -0.55928367746625 -0.65053328158 -0.564239194378438 -0.571614888155312 -0.717311676745625 -0.719438065809375 -0.78990285099375 -0.7973614576875
"3" "LAYING" 13 -0.957516079230769 -0.942385326153846 -0.957516079230769 -0.942385326153846 -0.98520112948718 -0.978163795641026 -0.955927413846154 -0.950583752820513 -0.983384277692308 -0.97434648974359 -0.954053960076923 -0.945110419487179 -0.978673536923077 -0.97652953974359 -0.959784324358974 -0.953582937435897 -0.975424345641026 -0.974582518974359
"4" "LAYING" 15 -0.393700499981801 -0.424716973600664 -0.393700499981801 -0.424716973600664 -0.557028503158626 -0.513187221172038 -0.519791478782464 -0.590092599221327 -0.759827649526066 -0.801174265687204 -0.433559583665166 -0.510007158478673 -0.499043307067773 -0.536544785117536 -0.66259674492891 -0.615121864104265 -0.798769752085308 -0.819253405687204
"5" "LAYING" 16 -0.616131116889044 -0.661719690491803 -0.616131116889044 -0.661719690491803 -0.725246870486339 -0.719647028238525 -0.718168775628415 -0.78482286579235 -0.860446372459016 -0.87480016568306 -0.666962508246721 -0.712680990765301 -0.713167613706148 -0.729869398769672 -0.81712881920765 -0.802078223409836 -0.87277228273224 -0.886533212213115
"6" "LAYING" 17 -0.568367244093859 -0.636074477703533 -0.568367244093859 -0.636074477703533 -0.696465197235054 -0.693946394750815 -0.676185123284103 -0.750145260967391 -0.810438232853261 -0.825255969701087 -0.646189154826902 -0.687536943227717 -0.697575558993207 -0.692595778979891 -0.769498551467391 -0.782232494673913 -0.829124468315217 -0.833701023152174
"7" "LAYING" 19 -0.531507362111361 -0.599552767486306 -0.531507362111361 -0.599552767486306 -0.5762252472125 -0.601918552871944 -0.548919668132222 -0.610093380740278 -0.683436541824444 -0.7255986988425 -0.556404444967972 -0.689860920113889 -0.576064647812278 -0.641089005857778 -0.636287999799167 -0.662325968145833 -0.719519008752778 -0.754223739441667
"8" "LAYING" 21 -0.973348456176471 -0.967418118627451 -0.973348456176471 -0.967418118627451 -0.985444707352941 -0.982610612843137 -0.965294193431373 -0.966090975196078 -0.988289597843137 -0.987168339509804 -0.971346051764706 -0.969866100784314 -0.981627265980392 -0.98289194 -0.973392862843137 -0.967261283921569 -0.987262110392157 -0.987702458333333
"9" "SITTING" 4 -0.241791763733333 -0.34509942083908 -0.241791763733333 -0.34509942083908 -0.382594780214138 -0.383932867114943 -0.43332133988046 -0.52562316816092 -0.686436698735632 -0.733322662413793 -0.32662695802069 -0.461404361413793 -0.35743173438046 -0.425759905436782 -0.577405288747126 -0.57467201045977 -0.719798534367816 -0.771924614712644
"10" "SITTING" 7 -0.412083624852209 -0.416915340874819 -0.412083624852209 -0.416915340874819 -0.539232472351526 -0.451218703495582 -0.501441433911647 -0.523579608066265 -0.649748892682731 -0.582982689132932 -0.421909187971888 -0.506239545905221 -0.454728752709719 -0.451508524545382 -0.555096296344056 -0.588176408626506 -0.59597963217739 -0.596649181482731
"11" "SITTING" 8 -0.468522592843416 -0.554038979266192 -0.468522592843416 -0.554038979266192 -0.534248616612028 -0.564471999961566 -0.476214943826192 -0.581422885341281 -0.673625525658363 -0.715838385516014 -0.512106792856939 -0.651638076286121 -0.529244911130605 -0.618027414911032 -0.609984289180071 -0.636673891144128 -0.70215621546726 -0.755717299964413
"12" "SITTING" 9 -0.505183470509188 -0.553038255314792 -0.505183470509188 -0.553038255314792 -0.621608245092361 -0.608862145384722 -0.550201866572569 -0.663198385034722 -0.7629795809375 -0.786176892048611 -0.553186448295139 -0.624456827182986 -0.609193721940625 -0.611619343190972 -0.700863097986111 -0.697729432621528 -0.786473954201389 -0.801296292638889
